ColorId,CanonicalColorId,Status,PrimaryName,Aliases,RegistryNotes,BreedContext,ColorGroup,BaseSeries,OrangeState,Dilution,AgoutiState,SilverState,WhiteState,PointState,PatternState,SexRestriction,DisplayAllowed,InputAllowed,OutputPriority,SourceCodes,SourceNames,GeneticRuleSource,Notes
black,black,canonical,Black,,"団体/補足タグ: A.O.C, AOC",general,solid,black,non_orange,dense,solid,non_silver,none,full,none,unrestricted,true,true,100,3 | 447 | 470,Black | Black(A.O.C) | Black(AOC),current_map,
black_white,black_white,canonical,Black-White,,,general,solid,black,non_orange,dense,solid,non_silver,white,full,none,unrestricted,true,true,100,36,Black-White,current_map,
blue,blue,canonical,Blue,,,general,solid,black,non_orange,dilute,solid,non_silver,none,full,none,unrestricted,true,true,100,2,Blue,current_map,
blue_solid,blue_solid,breed_specific,Blue Solid,,,Tonkinese,solid,black,non_orange,dilute,solid,non_silver,none,sepia,none,unrestricted,false,true,20,372,Blue Solid,review_required,Tonkinese 固有呼称。Solid class は C座位 cb/cb として扱い、breed_unselected の normal_mode 結果には出さない。
blue_spotted,blue_spotted,canonical,Blue Spotted,,,general,solid,black,non_orange,dilute,agouti,non_silver,none,full,spotted,unrestricted,true,true,100,444,Blue Spotted,current_map,
blue_white,blue_white,canonical,Blue-White,,,general,solid,black,non_orange,dilute,solid,non_silver,white,full,none,unrestricted,true,true,100,35,Blue-White,current_map,
brown,brown,canonical,Brown,,,general,solid,black,non_orange,dense,solid,non_silver,none,full,none,unrestricted,true,true,100,18,Brown,current_map,
brown_white,brown_white,canonical,Brown-White,,,general,solid,black,non_orange,dense,solid,non_silver,white,full,none,unrestricted,true,true,100,289,Brown-White,current_map,
chocolate,chocolate,canonical,Chocolate,,,general,solid,chocolate,non_orange,dense,solid,non_silver,none,full,none,unrestricted,true,true,100,17,Chocolate,current_map,
chocolate_white,chocolate_white,canonical,Chocolate-White,,,general,solid,chocolate,non_orange,dense,solid,non_silver,white,full,none,unrestricted,true,true,100,382,Chocolate-White,current_map,
cinnamon,cinnamon,canonical,Cinnamon,,,general,solid,cinnamon,non_orange,dense,solid,non_silver,none,full,none,unrestricted,true,true,100,290,Cinnamon,current_map,
cinnamon_white,cinnamon_white,canonical,Cinnamon-White,,,general,solid,cinnamon,non_orange,dense,solid,non_silver,white,full,none,unrestricted,true,true,100,400,Cinnamon-White,inferred,遺伝子座はマップ未収載のため名前から推定。
cream,cream,canonical,Cream,,,general,solid,red,orange,dilute,solid,non_silver,none,full,none,unrestricted,true,true,100,6,Cream,current_map,
cream_white,cream_white,canonical,Cream-White,,,general,solid,red,orange,dilute,solid,non_silver,white,full,none,unrestricted,true,true,100,38,Cream-White,current_map,
fawn,fawn,canonical,Fawn,,,general,solid,cinnamon,non_orange,dilute,solid,non_silver,none,full,none,unrestricted,true,true,100,9,Fawn,current_map,
lilac,lilac,canonical,Lilac,,,general,solid,chocolate,non_orange,dilute,solid,non_silver,none,full,none,unrestricted,true,true,100,16,Lilac,current_map,
lilac_white,lilac_white,canonical,Lilac-White,,,general,solid,chocolate,non_orange,dilute,solid,non_silver,white,full,none,unrestricted,true,true,100,428,Lilac-White,inferred,遺伝子座はマップ未収載のため名前から推定。
red,red,canonical,Red,,,general,solid,red,orange,dense,solid,non_silver,none,full,none,unrestricted,true,true,100,4,Red,current_map,
red_white,red_white,canonical,Red-White,,,general,solid,red,orange,dense,solid,non_silver,white,full,none,unrestricted,true,true,100,37,Red-White,current_map,
black_brown_spotted_tabby,black_brown_spotted_tabby,canonical,Black Brown Spotted Tabby,,,general,tabby,black,non_orange,dense,agouti,non_silver,none,full,spotted,unrestricted,true,true,90,395,Black Brown Spotted Tabby,inferred,遺伝子座はマップ未収載のため名前から推定。
blue_classic_tabby,blue_classic_tabby,canonical,Blue Classic Tabby,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,tabby,black,non_orange,dilute,agouti,non_silver,none,full,classic,unrestricted,true,true,90,496,[map] Blue Classic Tabby,current_map,
blue_classic_tabby_white,blue_classic_tabby_white,canonical,Blue Classic Tabby-White,,,general,tabby,black,non_orange,dilute,agouti,non_silver,white,full,classic,unrestricted,true,true,90,438,Blue Classic Tabby-White,current_map,
